user_1|movie_1270,movie_1022,movie_2340,movie_1836|5.0,5.0,3.0,5.0|F|group_1|occupation_10
user_3688|movie_111,movie_3461,movie_1196,movie_940|5.0,4.0,5.0,4.0|M|group_18|occupation_6
user_3688|movie_1196,movie_940,movie_926,movie_910|5.0,4.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_926,movie_910,movie_265,movie_916|5.0,5.0,5.0,4.0|M|group_18|occupation_6
user_3688|movie_265,movie_916,movie_954,movie_1080|5.0,4.0,4.0,4.0|M|group_18|occupation_6
user_3688|movie_954,movie_1080,movie_594,movie_1203|4.0,4.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_594,movie_1203,movie_25,movie_2028|5.0,5.0,4.0,5.0|M|group_18|occupation_6
user_3688|movie_25,movie_2028,movie_1266,movie_2791|4.0,5.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_1266,movie_2791,movie_1704,movie_2804|5.0,5.0,5.0,4.0|M|group_18|occupation_6
user_3688|movie_1704,movie_2804,movie_3681,movie_900|5.0,4.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_3681,movie_900,movie_110,movie_953|5.0,5.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_110,movie_953,movie_2248,movie_1357|5.0,5.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_3160,movie_3301,movie_1259,movie_589|5.0,4.0,5.0,4.0|M|group_18|occupation_6
user_3688|movie_1259,movie_589,movie_1673,movie_1580|5.0,4.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_1673,movie_1580,movie_2033,movie_1374|5.0,5.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_2033,movie_1374,movie_2302,movie_2131|5.0,5.0,4.0,5.0|M|group_18|occupation_6
user_3688|movie_2302,movie_2131,movie_2858,movie_551|4.0,5.0,3.0,2.0|M|group_18|occupation_6
user_3688|movie_2858,movie_551,movie_3675,movie_1171|3.0,2.0,2.0,5.0|M|group_18|occupation_6
user_3688|movie_3675,movie_1171,movie_480,movie_3741|2.0,5.0,4.0,5.0|M|group_18|occupation_6
user_3688|movie_480,movie_3741,movie_913,movie_1594|4.0,5.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_913,movie_1594,movie_260,movie_1089|5.0,5.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_260,movie_1089,movie_912,movie_1251|5.0,5.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_912,movie_1251,movie_1263,movie_3404|5.0,5.0,4.0,3.0|M|group_18|occupation_6
user_3688|movie_1263,movie_3404,movie_3006,movie_2427|4.0,3.0,4.0,5.0|M|group_18|occupation_6
user_3688|movie_3006,movie_2427,movie_1296,movie_1411|4.0,5.0,4.0,5.0|M|group_18|occupation_6
user_3688|movie_1296,movie_1411,movie_1240,movie_1227|4.0,5.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_1240,movie_1227,movie_3342,movie_3267|5.0,5.0,5.0,4.0|M|group_18|occupation_6
user_3688|movie_3342,movie_3267,movie_47,movie_2947|5.0,4.0,4.0,4.0|M|group_18|occupation_6
user_3688|movie_47,movie_2947,movie_337,movie_1036|4.0,4.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_866,movie_1200,movie_2871,movie_32|5.0,5.0,4.0,5.0|M|group_18|occupation_6
user_3688|movie_2871,movie_32,movie_1291,movie_2329|4.0,5.0,5.0,4.0|M|group_18|occupation_6
user_3688|movie_1291,movie_2329,movie_1293,movie_412|5.0,4.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_1293,movie_412,movie_527,movie_2706|5.0,5.0,5.0,4.0|M|group_18|occupation_6
user_3688|movie_527,movie_2706,movie_2694,movie_2541|5.0,4.0,1.0,2.0|M|group_18|occupation_6
user_3688|movie_2694,movie_2541,movie_2712,movie_2716|1.0,2.0,2.0,4.0|M|group_18|occupation_6
user_3688|movie_2712,movie_2716,movie_3623,movie_2692|2.0,4.0,2.0,4.0|M|group_18|occupation_6
user_3688|movie_3623,movie_2692,movie_2700,movie_154|2.0,4.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_2700,movie_154,movie_3134,movie_1299|5.0,5.0,5.0,4.0|M|group_18|occupation_6
user_3688|movie_3134,movie_1299,movie_1237,movie_1893|5.0,4.0,5.0,3.0|M|group_18|occupation_6
user_3688|movie_1237,movie_1893,movie_2932,movie_3152|5.0,3.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_2932,movie_3152,movie_1244,movie_1248|5.0,5.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_1244,movie_1248,movie_1287,movie_2194|5.0,5.0,5.0,4.0|M|group_18|occupation_6
user_3688|movie_1287,movie_2194,movie_474,movie_1307|5.0,4.0,4.0,5.0|M|group_18|occupation_6
user_3688|movie_474,movie_1307,movie_3527,movie_647|4.0,5.0,4.0,4.0|M|group_18|occupation_6
user_3688|movie_3527,movie_647,movie_2112,movie_733|4.0,4.0,4.0,4.0|M|group_18|occupation_6
user_3688|movie_2112,movie_733,movie_3825,movie_69|4.0,4.0,1.0,5.0|M|group_18|occupation_6
user_3688|movie_3825,movie_69,movie_1215,movie_3742|1.0,5.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_1215,movie_3742,movie_3943,movie_2731|5.0,5.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_3943,movie_2731,movie_1224,movie_1097|5.0,5.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_1944,movie_595,movie_3067,movie_3083|5.0,4.0,4.0,5.0|M|group_18|occupation_6
user_3688|movie_3067,movie_3083,movie_150,movie_2732|4.0,5.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_150,movie_2732,movie_1954,movie_914|5.0,5.0,5.0,4.0|M|group_18|occupation_6
user_3688|movie_1954,movie_914,movie_2729,movie_1962|5.0,4.0,4.0,4.0|M|group_18|occupation_6
user_3688|movie_2729,movie_1962,movie_1584,movie_3608|4.0,4.0,4.0,5.0|M|group_18|occupation_6
user_3688|movie_1584,movie_3608,movie_897,movie_3526|4.0,5.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_897,movie_3526,movie_3100,movie_1302|5.0,5.0,4.0,5.0|M|group_18|occupation_6
user_3688|movie_3100,movie_1302,movie_3210,movie_3668|4.0,5.0,1.0,5.0|M|group_18|occupation_6
user_3688|movie_3210,movie_3668,movie_509,movie_1641|1.0,5.0,3.0,5.0|M|group_18|occupation_6
user_3688|movie_509,movie_1641,movie_2352,movie_2081|3.0,5.0,4.0,4.0|M|group_18|occupation_6
user_3688|movie_2352,movie_2081,movie_2139,movie_3253|4.0,4.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_1500,movie_2797,movie_3246,movie_497|5.0,5.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_3246,movie_497,movie_3543,movie_3629|5.0,5.0,5.0,5.0|M|group_18|occupation_6
user_3688|movie_3543,movie_3629,movie_364,movie_2291|5.0,5.0,5.0,3.0|M|group_18|occupation_6
user_3688|movie_364,movie_2291,movie_3360,movie_1193|5.0,3.0,3.0,3.0|M|group_18|occupation_6
user_3688|movie_3360,movie_1193,movie_515,movie_524|3.0,3.0,4.0,2.0|M|group_18|occupation_6
user_3688|movie_515,movie_524,movie_1035,movie_1674|4.0,2.0,2.0,4.0|M|group_18|occupation_6
user_3688|movie_1035,movie_1674,movie_3481,movie_242|2.0,4.0,5.0,4.0|M|group_18|occupation_6
