user_1|movie_1270,movie_1022,movie_2340,movie_1836|5.0,5.0,3.0,5.0|F|group_1|occupation_10
user_2599|movie_3703,movie_260,movie_2010,movie_541|5.0,5.0,5.0,5.0|M|group_25|occupation_12
user_2599|movie_1196,movie_589,movie_3471,movie_1199|5.0,4.0,5.0,4.0|M|group_25|occupation_12
user_2599|movie_3471,movie_1199,movie_924,movie_741|5.0,4.0,5.0,3.0|M|group_25|occupation_12
user_2599|movie_924,movie_741,movie_1270,movie_2288|5.0,3.0,5.0,5.0|M|group_25|occupation_12
user_2599|movie_1270,movie_2288,movie_3576,movie_1274|5.0,5.0,4.0,5.0|M|group_25|occupation_12
user_2599|movie_3576,movie_1274,movie_2287,movie_3932|4.0,5.0,3.0,4.0|M|group_25|occupation_12
user_2599|movie_2287,movie_3932,movie_1301,movie_1210|3.0,4.0,4.0,5.0|M|group_25|occupation_12
user_2599|movie_1301,movie_1210,movie_1206,movie_1127|4.0,5.0,2.0,4.0|M|group_25|occupation_12
user_2599|movie_1206,movie_1127,movie_1374,movie_3702|2.0,4.0,4.0,4.0|M|group_25|occupation_12
user_2599|movie_2664,movie_2529,movie_1584,movie_1253|3.0,4.0,5.0,4.0|M|group_25|occupation_12
user_2599|movie_1584,movie_1253,movie_32,movie_3793|5.0,4.0,4.0,5.0|M|group_25|occupation_12
user_2599|movie_32,movie_3793,movie_1215,movie_1921|4.0,5.0,5.0,3.0|M|group_25|occupation_12
user_2599|movie_1215,movie_1921,movie_2901,movie_1356|5.0,3.0,3.0,3.0|M|group_25|occupation_12
user_2599|movie_2901,movie_1356,movie_2985,movie_480|3.0,3.0,5.0,4.0|M|group_25|occupation_12
user_2599|movie_2985,movie_480,movie_1580,movie_2916|5.0,4.0,4.0,4.0|M|group_25|occupation_12
user_2599|movie_3527,movie_671,movie_2140,movie_1527|5.0,4.0,4.0,2.0|M|group_25|occupation_12
user_2599|movie_2140,movie_1527,movie_2021,movie_3704|4.0,2.0,4.0,3.0|M|group_25|occupation_12
user_2599|movie_2021,movie_3704,movie_2640,movie_3175|4.0,3.0,3.0,4.0|M|group_25|occupation_12
user_2599|movie_2640,movie_3175,movie_3927,movie_1376|3.0,4.0,4.0,4.0|M|group_25|occupation_12
user_2599|movie_3927,movie_1376,movie_2662,movie_2533|4.0,4.0,3.0,3.0|M|group_25|occupation_12
user_2599|movie_2662,movie_2533,movie_2011,movie_1909|3.0,3.0,2.0,3.0|M|group_25|occupation_12
user_2599|movie_2011,movie_1909,movie_1019,movie_3699|2.0,3.0,4.0,4.0|M|group_25|occupation_12
user_2599|movie_3863,movie_2454,movie_2105,movie_2232|3.0,3.0,5.0,3.0|M|group_25|occupation_12
user_2599|movie_2657,movie_1372,movie_2527,movie_2046|4.0,2.0,2.0,2.0|M|group_25|occupation_12
user_2599|movie_2527,movie_2046,movie_3070,movie_748|2.0,2.0,3.0,3.0|M|group_25|occupation_12
user_2599|movie_3070,movie_748,movie_2116,movie_788|3.0,3.0,3.0,3.0|M|group_25|occupation_12
user_2599|movie_3033,movie_3745,movie_3770,movie_780|3.0,4.0,4.0,4.0|M|group_25|occupation_12
user_2599|movie_3770,movie_780,movie_329,movie_1375|4.0,4.0,3.0,3.0|M|group_25|occupation_12
user_2599|movie_2528,movie_1676,movie_2641,movie_512|2.0,4.0,3.0,4.0|M|group_25|occupation_12
user_2599|movie_1334,movie_2628,movie_2054,movie_3697|3.0,4.0,4.0,5.0|M|group_25|occupation_12
user_2599|movie_2054,movie_3697,movie_1261,movie_858|4.0,5.0,4.0,5.0|M|group_25|occupation_12
user_2599|movie_1261,movie_858,movie_1197,movie_1221|4.0,5.0,5.0,5.0|M|group_25|occupation_12
user_2599|movie_1197,movie_1221,movie_1198,movie_457|5.0,5.0,5.0,5.0|M|group_25|occupation_12
user_2599|movie_1198,movie_457,movie_1387,movie_2366|5.0,5.0,5.0,5.0|M|group_25|occupation_12
user_2599|movie_1387,movie_2366,movie_2571,movie_1036|5.0,5.0,5.0,5.0|M|group_25|occupation_12
user_2599|movie_2571,movie_1036,movie_1275,movie_2947|5.0,5.0,5.0,5.0|M|group_25|occupation_12
user_2599|movie_1291,movie_2194,movie_112,movie_110|4.0,4.0,4.0,5.0|M|group_25|occupation_12
user_2599|movie_112,movie_110,movie_861,movie_1242|4.0,5.0,4.0,3.0|M|group_25|occupation_12
user_2599|movie_861,movie_1242,movie_2949,movie_2000|4.0,3.0,4.0,4.0|M|group_25|occupation_12
user_2599|movie_2949,movie_2000,movie_2278,movie_2944|4.0,4.0,3.0,4.0|M|group_25|occupation_12
user_2599|movie_2278,movie_2944,movie_1220,movie_3578|3.0,4.0,5.0,4.0|M|group_25|occupation_12
user_2599|movie_2924,movie_2353,movie_2363,movie_1610|4.0,4.0,4.0,4.0|M|group_25|occupation_12
user_2599|movie_2363,movie_1610,movie_2872,movie_2993|4.0,4.0,4.0,4.0|M|group_25|occupation_12
user_2599|movie_2872,movie_2993,movie_3753,movie_353|4.0,4.0,3.0,4.0|M|group_25|occupation_12
user_2599|movie_3753,movie_353,movie_3740,movie_1954|3.0,4.0,4.0,4.0|M|group_25|occupation_12
user_2599|movie_2948,movie_3555,movie_3354,movie_3864|4.0,4.0,3.0,3.0|M|group_25|occupation_12
user_2599|movie_3354,movie_3864,movie_608,movie_1090|3.0,3.0,3.0,4.0|M|group_25|occupation_12
