user_1|movie_1270,movie_1022,movie_2340,movie_1836|5.0,5.0,3.0,5.0|F|group_1|occupation_10
user_4193|movie_3070,movie_2455,movie_2091,movie_2407|4.0,3.0,4.0,4.0|M|group_56|occupation_13
user_4193|movie_2091,movie_2407,movie_1391,movie_788|4.0,4.0,4.0,3.0|M|group_56|occupation_13
user_4193|movie_1391,movie_788,movie_256,movie_780|4.0,3.0,4.0,4.0|M|group_56|occupation_13
user_4193|movie_256,movie_780,movie_2021,movie_3033|4.0,4.0,4.0,3.0|M|group_56|occupation_13
user_4193|movie_2021,movie_3033,movie_185,movie_2456|4.0,3.0,3.0,3.0|M|group_56|occupation_13
user_4193|movie_185,movie_2456,movie_1037,movie_1090|3.0,3.0,4.0,3.0|M|group_56|occupation_13
user_4193|movie_1037,movie_1090,movie_1944,movie_2067|4.0,3.0,4.0,4.0|M|group_56|occupation_13
user_4193|movie_1944,movie_2067,movie_1208,movie_1250|4.0,4.0,3.0,3.0|M|group_56|occupation_13
user_4193|movie_1208,movie_1250,movie_2944,movie_1094|3.0,3.0,4.0,3.0|M|group_56|occupation_13
user_4193|movie_2944,movie_1094,movie_1263,movie_3367|4.0,3.0,5.0,4.0|M|group_56|occupation_13
user_4193|movie_1263,movie_3367,movie_356,movie_3066|5.0,4.0,5.0,5.0|M|group_56|occupation_13
user_4193|movie_356,movie_3066,movie_3448,movie_1183|5.0,5.0,2.0,4.0|M|group_56|occupation_13
user_4193|movie_3441,movie_1219,movie_2762,movie_1358|2.0,4.0,5.0,4.0|M|group_56|occupation_13
user_4193|movie_2762,movie_1358,movie_1674,movie_3849|5.0,4.0,4.0,4.0|M|group_56|occupation_13
user_4193|movie_1674,movie_3849,movie_933,movie_3551|4.0,4.0,4.0,3.0|M|group_56|occupation_13
user_4193|movie_933,movie_3551,movie_906,movie_3505|4.0,3.0,4.0,4.0|M|group_56|occupation_13
user_4193|movie_906,movie_3505,movie_628,movie_2160|4.0,4.0,3.0,4.0|M|group_56|occupation_13
user_4193|movie_628,movie_2160,movie_2278,movie_2967|3.0,4.0,4.0,4.0|M|group_56|occupation_13
user_4193|movie_2278,movie_2967,movie_3770,movie_1343|4.0,4.0,4.0,4.0|M|group_56|occupation_13
user_4193|movie_2967,movie_3770,movie_1343,movie_1841|4.0,4.0,4.0,3.0|M|group_56|occupation_13
user_4194|movie_2028,movie_1027,movie_714,movie_661|5.0,3.0,4.0,3.0|M|group_18|occupation_4
user_4194|movie_714,movie_661,movie_1281,movie_1097|4.0,3.0,3.0,4.0|M|group_18|occupation_4
user_4194|movie_1281,movie_1097,movie_2712,movie_3763|3.0,4.0,5.0,3.0|M|group_18|occupation_4
user_4194|movie_2712,movie_3763,movie_3578,movie_3785|5.0,3.0,5.0,2.0|M|group_18|occupation_4
user_4194|movie_3578,movie_3785,movie_3793,movie_3753|5.0,2.0,5.0,4.0|M|group_18|occupation_4
user_4194|movie_3793,movie_3753,movie_3751,movie_3623|5.0,4.0,5.0,2.0|M|group_18|occupation_4
user_4194|movie_3751,movie_3623,movie_1936,movie_3250|5.0,2.0,4.0,4.0|M|group_18|occupation_4
user_4194|movie_1936,movie_3250,movie_1221,movie_318|4.0,4.0,5.0,5.0|M|group_18|occupation_4
user_4194|movie_1221,movie_318,movie_858,movie_1719|5.0,5.0,5.0,5.0|M|group_18|occupation_4
user_4194|movie_858,movie_1719,movie_1213,movie_527|5.0,5.0,5.0,5.0|M|group_18|occupation_4
user_4194|movie_2858,movie_593,movie_2324,movie_296|5.0,5.0,5.0,5.0|M|group_18|occupation_4
user_4194|movie_2324,movie_296,movie_778,movie_247|5.0,5.0,5.0,3.0|M|group_18|occupation_4
user_4194|movie_778,movie_247,movie_1358,movie_3108|5.0,3.0,5.0,5.0|M|group_18|occupation_4
user_4194|movie_1358,movie_3108,movie_3083,movie_34|5.0,5.0,5.0,5.0|M|group_18|occupation_4
user_4194|movie_1916,movie_1095,movie_2297,movie_25|5.0,5.0,3.0,5.0|M|group_18|occupation_4
user_4194|movie_2297,movie_25,movie_97,movie_2997|3.0,5.0,5.0,5.0|M|group_18|occupation_4
user_4194|movie_97,movie_2997,movie_3174,movie_3176|5.0,5.0,3.0,4.0|M|group_18|occupation_4
user_4194|movie_3174,movie_3176,movie_3078,movie_3175|3.0,4.0,4.0,4.0|M|group_18|occupation_4
