user_1|movie_1270,movie_1022,movie_2340,movie_1836|5.0,5.0,3.0,5.0|F|group_1|occupation_10
user_3191|movie_1610,movie_1407,movie_457,movie_1343|5.0,5.0,3.0,3.0|M|group_25|occupation_12
user_3191|movie_457,movie_1343,movie_230,movie_161|3.0,3.0,2.0,4.0|M|group_25|occupation_12
user_3191|movie_230,movie_161,movie_1674,movie_3510|2.0,4.0,4.0,4.0|M|group_25|occupation_12
user_3191|movie_1909,movie_3505,movie_164,movie_3476|4.0,3.0,3.0,2.0|M|group_25|occupation_12
user_3191|movie_164,movie_3476,movie_2841,movie_1645|3.0,2.0,3.0,2.0|M|group_25|occupation_12
user_3191|movie_2841,movie_1645,movie_543,movie_2763|3.0,2.0,3.0,4.0|M|group_25|occupation_12
user_3191|movie_543,movie_2763,movie_1653,movie_1876|3.0,4.0,4.0,3.0|M|group_25|occupation_12
user_3191|movie_1653,movie_1876,movie_22,movie_1092|4.0,3.0,3.0,4.0|M|group_25|occupation_12
user_3191|movie_22,movie_1092,movie_587,movie_832|3.0,4.0,5.0,4.0|M|group_25|occupation_12
user_3191|movie_587,movie_832,movie_628,movie_1892|5.0,4.0,3.0,4.0|M|group_25|occupation_12
user_3191|movie_628,movie_1892,movie_350,movie_2803|3.0,4.0,4.0,4.0|M|group_25|occupation_12
user_3191|movie_350,movie_2803,movie_10,movie_2334|4.0,4.0,5.0,4.0|M|group_25|occupation_12
user_3191|movie_10,movie_2334,movie_3770,movie_225|5.0,4.0,2.0,4.0|M|group_25|occupation_12
user_3191|movie_3770,movie_225,movie_1620,movie_1769|2.0,4.0,5.0,2.0|M|group_25|occupation_12
user_3191|movie_1620,movie_1769,movie_3686,movie_1921|5.0,2.0,2.0,2.0|M|group_25|occupation_12
user_3191|movie_3686,movie_1921,movie_2672,movie_407|2.0,2.0,4.0,1.0|M|group_25|occupation_12
user_3191|movie_2672,movie_407,movie_1597,movie_2713|4.0,1.0,3.0,4.0|M|group_25|occupation_12
user_3191|movie_3409,movie_1320,movie_736,movie_1598|3.0,3.0,3.0,3.0|M|group_25|occupation_12
user_3191|movie_736,movie_1598,movie_257,movie_464|3.0,3.0,4.0,2.0|M|group_25|occupation_12
user_3191|movie_257,movie_464,movie_338,movie_1603|4.0,2.0,4.0,1.0|M|group_25|occupation_12
user_3191|movie_338,movie_1603,movie_132,movie_2676|4.0,1.0,3.0,4.0|M|group_25|occupation_12
user_3191|movie_3273,movie_2688,movie_3249,movie_3176|3.0,3.0,4.0,2.0|M|group_25|occupation_12
user_3191|movie_3249,movie_3176,movie_2806,movie_2605|4.0,2.0,4.0,4.0|M|group_25|occupation_12
user_3191|movie_2806,movie_2605,movie_185,movie_1515|4.0,4.0,3.0,2.0|M|group_25|occupation_12
user_3191|movie_185,movie_1515,movie_2026,movie_1422|3.0,2.0,3.0,3.0|M|group_25|occupation_12
user_3191|movie_2026,movie_1422,movie_3557,movie_3257|3.0,3.0,2.0,3.0|M|group_25|occupation_12
user_3191|movie_891,movie_540,movie_3238,movie_2719|1.0,2.0,1.0,2.0|M|group_25|occupation_12
user_3191|movie_3238,movie_2719,movie_1479,movie_2389|1.0,2.0,3.0,1.0|M|group_25|occupation_12
user_3191|movie_1479,movie_2389,movie_1644,movie_2338|3.0,1.0,1.0,1.0|M|group_25|occupation_12
user_3191|movie_3708,movie_415,movie_2122,movie_2505|3.0,2.0,2.0,2.0|M|group_25|occupation_12
user_3191|movie_2122,movie_2505,movie_519,movie_1647|2.0,2.0,1.0,3.0|M|group_25|occupation_12
user_3191|movie_519,movie_1647,movie_2446,movie_640|1.0,3.0,3.0,2.0|M|group_25|occupation_12
user_3191|movie_2446,movie_640,movie_3835,movie_2107|3.0,2.0,3.0,1.0|M|group_25|occupation_12
user_3191|movie_3835,movie_2107,movie_880,movie_1556|3.0,1.0,1.0,1.0|M|group_25|occupation_12
user_3191|movie_880,movie_1556,movie_1996,movie_1265|1.0,1.0,2.0,5.0|M|group_25|occupation_12
user_3191|movie_1996,movie_1265,movie_2108,movie_2396|2.0,5.0,3.0,4.0|M|group_25|occupation_12
user_3191|movie_2108,movie_2396,movie_1393,movie_356|3.0,4.0,4.0,4.0|M|group_25|occupation_12
user_3191|movie_1393,movie_356,movie_1639,movie_11|4.0,4.0,3.0,4.0|M|group_25|occupation_12
user_3191|movie_1777,movie_1721,movie_39,movie_1680|5.0,4.0,4.0,4.0|M|group_25|occupation_12
user_3191|movie_39,movie_1680,movie_2572,movie_2340|4.0,4.0,4.0,3.0|M|group_25|occupation_12
user_3191|movie_2572,movie_2340,movie_2671,movie_539|4.0,3.0,4.0,4.0|M|group_25|occupation_12
user_3191|movie_2671,movie_539,movie_2424,movie_7|4.0,4.0,4.0,3.0|M|group_25|occupation_12
user_3191|movie_1542,movie_380,movie_440,movie_339|3.0,4.0,4.0,2.0|M|group_25|occupation_12
user_3191|movie_440,movie_339,movie_1835,movie_597|4.0,2.0,1.0,4.0|M|group_25|occupation_12
user_3191|movie_1835,movie_597,movie_1059,movie_351|1.0,4.0,2.0,2.0|M|group_25|occupation_12
user_3191|movie_1059,movie_351,movie_1569,movie_3081|2.0,2.0,4.0,3.0|M|group_25|occupation_12
user_3191|movie_1569,movie_3081,movie_852,movie_2485|4.0,3.0,4.0,3.0|M|group_25|occupation_12
user_3191|movie_852,movie_2485,movie_2502,movie_1888|4.0,3.0,5.0,2.0|M|group_25|occupation_12
user_3191|movie_2502,movie_1888,movie_2496,movie_1457|5.0,2.0,2.0,3.0|M|group_25|occupation_12
user_3191|movie_2496,movie_1457,movie_1339,movie_1821|2.0,3.0,4.0,3.0|M|group_25|occupation_12
user_3191|movie_1339,movie_1821,movie_3155,movie_3426|4.0,3.0,3.0,3.0|M|group_25|occupation_12
user_3191|movie_3155,movie_3426,movie_2581,movie_2724|3.0,3.0,2.0,3.0|M|group_25|occupation_12
user_3191|movie_2581,movie_2724,movie_252,movie_122|2.0,3.0,3.0,3.0|M|group_25|occupation_12
user_3191|movie_252,movie_122,movie_1541,movie_2805|3.0,3.0,3.0,2.0|M|group_25|occupation_12
user_3191|movie_1541,movie_2805,movie_1895,movie_2558|3.0,2.0,3.0,3.0|M|group_25|occupation_12
user_3191|movie_1895,movie_2558,movie_1593,movie_1409|3.0,3.0,2.0,4.0|M|group_25|occupation_12
user_3191|movie_1593,movie_1409,movie_2497,movie_3004|2.0,4.0,2.0,3.0|M|group_25|occupation_12
user_3191|movie_289,movie_1894,movie_788,movie_2822|2.0,3.0,4.0,3.0|M|group_25|occupation_12
user_3191|movie_788,movie_2822,movie_1801,movie_168|4.0,3.0,4.0,3.0|M|group_25|occupation_12
user_3191|movie_1801,movie_168,movie_2597,movie_2297|4.0,3.0,4.0,3.0|M|group_25|occupation_12
user_3191|movie_2597,movie_2297,movie_207,movie_237|4.0,3.0,2.0,3.0|M|group_25|occupation_12
user_3191|movie_207,movie_237,movie_2875,movie_236|2.0,3.0,1.0,3.0|M|group_25|occupation_12
user_3191|movie_2875,movie_236,movie_3269,movie_1854|1.0,3.0,4.0,3.0|M|group_25|occupation_12
user_3191|movie_3269,movie_1854,movie_2884,movie_2385|4.0,3.0,3.0,2.0|M|group_25|occupation_12
user_3191|movie_2884,movie_2385,movie_2316,movie_2629|3.0,2.0,3.0,3.0|M|group_25|occupation_12
user_3191|movie_2316,movie_2629,movie_276,movie_2888|3.0,3.0,4.0,3.0|M|group_25|occupation_12
user_3191|movie_1477,movie_2266,movie_2906,movie_3|2.0,2.0,4.0,3.0|M|group_25|occupation_12
user_3191|movie_2906,movie_3,movie_3408,movie_3481|4.0,3.0,3.0,4.0|M|group_25|occupation_12
user_3191|movie_3408,movie_3481,movie_3536,movie_3512|3.0,4.0,5.0,3.0|M|group_25|occupation_12
user_3191|movie_3536,movie_3512,movie_3534,movie_3565|5.0,3.0,3.0,3.0|M|group_25|occupation_12
user_3191|movie_3534,movie_3565,movie_3317,movie_3325|3.0,3.0,4.0,4.0|M|group_25|occupation_12
user_3191|movie_3317,movie_3325,movie_3301,movie_3299|4.0,4.0,3.0,2.0|M|group_25|occupation_12
user_3191|movie_3301,movie_3299,movie_3554,movie_3754|3.0,2.0,4.0,4.0|M|group_25|occupation_12
user_3191|movie_3554,movie_3754,movie_3354,movie_3857|4.0,4.0,1.0,1.0|M|group_25|occupation_12
user_3191|movie_3354,movie_3857,movie_3326,movie_3515|1.0,1.0,3.0,2.0|M|group_25|occupation_12
user_3192|movie_1196,movie_377,movie_3175,movie_2028|5.0,3.0,4.0,4.0|M|group_18|occupation_4
user_3192|movie_62,movie_6,movie_1408,movie_3006|4.0,5.0,5.0,5.0|M|group_18|occupation_4
user_3192|movie_1408,movie_3006,movie_2706,movie_3616|5.0,5.0,5.0,2.0|M|group_18|occupation_4
user_3192|movie_2706,movie_3616,movie_1354,movie_3863|5.0,2.0,1.0,3.0|M|group_18|occupation_4
user_3192|movie_1354,movie_3863,movie_3255,movie_2571|1.0,3.0,5.0,5.0|M|group_18|occupation_4
user_3192|movie_3255,movie_2571,movie_1198,movie_2858|5.0,5.0,5.0,4.0|M|group_18|occupation_4
user_3192|movie_1198,movie_2858,movie_2396,movie_3114|5.0,4.0,5.0,5.0|M|group_18|occupation_4
user_3192|movie_2396,movie_3114,movie_223,movie_1265|5.0,5.0,3.0,4.0|M|group_18|occupation_4
user_3192|movie_223,movie_1265,movie_2997,movie_1641|3.0,4.0,4.0,4.0|M|group_18|occupation_4
user_3192|movie_2997,movie_1641,movie_3178,movie_104|4.0,4.0,5.0,5.0|M|group_18|occupation_4
user_3192|movie_3178,movie_104,movie_1500,movie_180|5.0,5.0,5.0,5.0|M|group_18|occupation_4
user_3192|movie_1500,movie_180,movie_2359,movie_2395|5.0,5.0,4.0,5.0|M|group_18|occupation_4
user_3192|movie_2359,movie_2395,movie_3450,movie_471|4.0,5.0,5.0,5.0|M|group_18|occupation_4
user_3192|movie_3450,movie_471,movie_1923,movie_39|5.0,5.0,4.0,5.0|M|group_18|occupation_4
user_3192|movie_1923,movie_39,movie_2195,movie_1883|4.0,5.0,3.0,4.0|M|group_18|occupation_4
user_3192|movie_2195,movie_1883,movie_3809,movie_2671|3.0,4.0,5.0,5.0|M|group_18|occupation_4
